seller_id,avg_delay_days,delay_frequency,total_orders,delayed_orders,seller_state,total_revenue
0015a82c2db000af6aaaf3ae2ecb0532,-15.593379629629629,0.0,3,0,SP,2748.06
001cca7ae9ae17fb1caed9dfb1094831,-12.156884545628103,0.06701030927835051,194,13,ES,32968.36
002100f778ceb8431b7a1020ff7ab48f,-7.210190145502645,0.1836734693877551,49,9,SP,2093.36
003554e2dce176b5555353e4f3555ac8,-26.06679398148148,0.0,1,0,GO,139.38
004c9cd9d87a3c30c522c48c4fc07416,-11.037541517323776,0.08387096774193549,155,13,SP,22951.07
00720abe85ba0859807595bbf045a33b,-7.076196581196582,0.15384615384615385,13,2,SP,1372.43
00ab3eff1b5192e5f1a63bcecfee11c8,-9.461099537037038,0.0,1,0,SP,110.08
00d8b143d12632bad99c0ad66ad52825,-21.296087962962964,0.0,1,0,MG,137.1
00ee68308b45bc5e2660cd833c3f81cc,-10.034863112642718,0.09022556390977443,133,12,SP,23290.079999999998
00fc707aaaad2d31347cf883cd2dfe10,-14.770173497639796,0.049019607843137254,102,5,PR,15155.84
010543a62bd80aa422851e79a3bc7540,-7.753888888888889,0.0,2,0,SP,1447.95
010da0602d7774602cd1b3f5fb7b709e,-9.109456018518518,0.0,1,0,SP,1079.75
011b0eaba87386a2ae96a7d32bb531d1,-29.522291666666668,0.0,1,0,SP,129.16
01266d4c46afa519678d16a8b683d325,-8.601331018518518,0.0,3,0,PR,137.48
013900e863eace745d3ec7614cab5b1a,-14.726748691626408,0.0,23,0,PR,2096.35
014c0679dd340a0e338872e7ec85666a,-10.454716435185185,0.14285714285714285,14,2,MG,7686.31
014d9a685fd57276679edd00e07089e5,-11.27999537037037,0.0,10,0,PR,938.91
0176f73cc1195f367f7b32db1e5b3aa8,-8.464153163580246,0.1111111111111111,36,4,SP,5991.46
01bcc9d254a0143f0ce9791b960b2a47,-17.622724537037037,0.0,10,0,GO,1644.69
01c97ebb5cdac52891c0ed1c37ba0012,-7.471925154320989,0.0,9,0,SP,756.0
01cf7e3d21494c41fb86034f2e714fa1,-14.493196406151915,0.05084745762711865,59,3,PR,11404.01
01ed254b9ff8407dfb9d99ba1e17d923,-16.234027777777776,0.0,5,0,SP,1533.71
01fd077212124329bac32490e8ef80d9,-10.51898222819594,0.03225806451612903,31,1,SP,1983.94
01fdefa7697d26ad920e9e0346d4bd1b,-13.005218460648148,0.0625,128,8,PR,17577.84
0241d4d5d36f10f80c644447315af0bd,-12.219461302334944,0.06086956521739131,230,14,PR,37377.51
0249d282d911d23cb8b869ab49c99f53,-7.5322874579124575,0.18181818181818182,11,2,SP,570.03
024b564ae893ce8e9bfa02c10a401ece,-36.505017361111115,0.0,2,0,SP,918.4000000000001
028872bfa080090a9d0abd4f1af168f8,-14.136261574074075,0.0,1,0,MG,117.87
02b72cdeb9cfcc429f1af6f4e3f3b737,-8.285228587962962,0.0,4,0,SP,748.64
02c988090b766852e088c69d7fb3b551,-10.409305555555557,0.0,12,0,SP,1770.94
02d35243ea2e497335cd0f076b45675d,-5.428723544973544,0.35714285714285715,14,5,RN,7216.21
02dcd3e8e25bee036e32512bcf175493,-5.60326834045584,0.3076923076923077,13,4,MG,1623.49
02ecc2a19303f05e59ce133fd923fff7,-14.193614969135803,0.0,21,0,SP,5852.32
02f5837340d7eb4f653d676c7256523a,-16.664940972222222,0.03333333333333333,30,1,PR,4463.88
02f623a8eb246f3c5f7c2f96462654e6,-9.968340961700337,0.09090909090909091,44,4,SP,7207.63
0307f7565ff85b299b6e5ef162b1b1a9,-16.086398533950618,0.0,6,0,SP,4968.889999999999
034b9387752bfa309f350a70cd45ffa3,-14.651976273148147,0.0,8,0,SC,240.26
038b75b729c8a9a04b0d07cba7eabe86,-0.8001678240740739,0.5,2,1,SP,557.8499999999999
